"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "CSS", "XML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Long To\Documents\react-proj\score\client\src\components\print\TopTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 90, 0, 5, 95
"c:\Users\Long To\Documents\react-proj\score\client\src\components\print\YearRangeTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 3, 72
"c:\Users\Long To\Documents\react-proj\score\client\src\components\print\functions\Area.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 175, 2, 20, 197
"c:\Users\Long To\Documents\react-proj\score\client\src\components\print\functions\Compete.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 190, 1, 19, 210
"c:\Users\Long To\Documents\react-proj\score\client\src\components\print\functions\Group.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 274, 2, 26, 302
"c:\Users\Long To\Documents\react-proj\score\client\src\components\print\functions\ScoreRange.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 403, 3, 38, 444
"c:\Users\Long To\Documents\react-proj\score\client\src\components\print\functions\Special.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 191, 1, 22, 214
"c:\Users\Long To\Documents\react-proj\score\client\src\components\print\functions\Top.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 309, 3, 32, 344
"c:\Users\Long To\Documents\react-proj\score\client\src\components\print\functions\YearRange.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 190, 2, 20, 212
"c:\Users\Long To\Documents\react-proj\score\client\src\components\print\menu\AddMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 183, 0, 17, 200
"c:\Users\Long To\Documents\react-proj\score\client\src\components\print\menu\DeleteMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 8, 75
"c:\Users\Long To\Documents\react-proj\score\client\src\components\print\menu\OrderMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 89, 1, 10, 100
"c:\Users\Long To\Documents\react-proj\score\client\src\components\search\Detail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 3, 41
"c:\Users\Long To\Documents\react-proj\score\client\src\components\search\Table.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 173, 0, 15, 188
"c:\Users\Long To\Documents\react-proj\score\client\src\components\search\utils.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 0, 6, 68
"c:\Users\Long To\Documents\react-proj\score\client\src\components\suggest\Average.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 8, 49
"c:\Users\Long To\Documents\react-proj\score\client\src\components\suggest\AverageTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 184, 0, 7, 191
"c:\Users\Long To\Documents\react-proj\score\client\src\components\suggest\Range.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 11, 86
"c:\Users\Long To\Documents\react-proj\score\client\src\components\suggest\RangeTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 147, 0, 4, 151
"c:\Users\Long To\Documents\react-proj\score\client\src\components\suggest\Top.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 10, 72
"c:\Users\Long To\Documents\react-proj\score\client\src\components\suggest\TopTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 89, 0, 4, 93
"c:\Users\Long To\Documents\react-proj\score\client\src\components\suggest\utils.js", "JavaScript", 0, 0, 106, 0, 0, 0, 0, 0, 11, 117
"c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\AreaChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 162, 1, 16, 179
"c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\CompeteChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 272, 17, 17, 306
"c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\GroupChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 171, 0, 13, 184
"c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\SchoolSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 7, 81
"c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\YearChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 302, 2, 28, 332
"c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\inputs\DiffInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 8, 59
"c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\inputs\SingleDistrict.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 9, 64
"c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\inputs\SingleSchool.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 12, 83
"c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\inputs\SingleWish.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 11, 69
"c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\inputs\SingleYear.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 9, 62
"c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\inputs\YearRange.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 110, 0, 12, 122
"c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\inputs\yearRange.css", "CSS", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\Long To\Documents\react-proj\score\client\src\components\visual\utils.js", "JavaScript", 0, 0, 314, 0, 0, 0, 0, 0, 27, 341
"c:\Users\Long To\Documents\react-proj\score\client\src\index.css", "CSS", 0, 0, 0, 0, 79, 0, 0, 0, 15, 94
"c:\Users\Long To\Documents\react-proj\score\client\src\index.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\docs\Docs.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 137, 1, 8, 146
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\docs\docs.css", "CSS", 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\error\NotFound.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 4, 31
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\error\error.css", "CSS", 0, 0, 0, 0, 45, 0, 0, 0, 2, 47
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\home\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 24, 4, 4, 32
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\home\home.css", "CSS", 0, 0, 0, 0, 189, 0, 0, 1, 30, 220
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\home\responsive.css", "CSS", 0, 0, 0, 0, 152, 0, 0, 0, 37, 189
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\print\Print.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 296, 2, 30, 328
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\print\print.css", "CSS", 0, 0, 0, 0, 65, 0, 0, 0, 15, 80
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\print\responsive.css", "CSS", 0, 0, 0, 0, 47, 0, 0, 0, 11, 58
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\search\Search.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 144, 1, 23, 168
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\search\table.css", "CSS", 0, 0, 0, 0, 63, 0, 0, 0, 14, 77
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\suggest\Suggest.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 465, 7, 52, 524
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\suggest\responsive.css", "CSS", 0, 0, 0, 0, 25, 0, 0, 0, 7, 32
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\suggest\suggest.css", "CSS", 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\suggest\top.css", "CSS", 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\visual\Visual.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 331, 9, 38, 378
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\visual\add.css", "CSS", 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\visual\responsive.css", "CSS", 0, 0, 0, 0, 29, 0, 0, 0, 8, 37
"c:\Users\Long To\Documents\react-proj\score\client\src\pages\visual\schoolSearch.css", "CSS", 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
"c:\Users\Long To\Documents\react-proj\score\client\src\reportWebVitals.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Long To\Documents\react-proj\score\client\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\Long To\Documents\react-proj\score\client\src\utils\activity.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 0, 5, 66
"c:\Users\Long To\Documents\react-proj\score\client\src\utils\breakpoints.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Long To\Documents\react-proj\score\client\src\utils\lists.js", "JavaScript", 0, 0, 78, 0, 0, 0, 0, 0, 8, 86
"c:\Users\Long To\Documents\react-proj\score\client\src\utils\setModeContext.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Long To\Documents\react-proj\score\client\tailwind.config.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 1, 3, 29
"c:\Users\Long To\Documents\react-proj\score\details.md", "Markdown", 134, 0, 0, 0, 0, 0, 0, 0, 5, 139
"c:\Users\Long To\Documents\react-proj\score\results.md", "Markdown", 56, 0, 0, 0, 0, 0, 0, 0, 6, 62
"c:\Users\Long To\Documents\react-proj\score\server\package.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\Long To\Documents\react-proj\score\server\src\connect.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Long To\Documents\react-proj\score\server\src\controllers\detail.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 7, 27
"c:\Users\Long To\Documents\react-proj\score\server\src\controllers\search.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 8, 36
"c:\Users\Long To\Documents\react-proj\score\server\src\controllers\suggest.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 5, 34
"c:\Users\Long To\Documents\react-proj\score\server\src\controllers\trackGet.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Long To\Documents\react-proj\score\server\src\controllers\trackPost.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Long To\Documents\react-proj\score\server\src\controllers\trackPut.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 1, 3, 18
"c:\Users\Long To\Documents\react-proj\score\server\src\controllers\visualArea.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"c:\Users\Long To\Documents\react-proj\score\server\src\controllers\visualAreaAll.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Long To\Documents\react-proj\score\server\src\controllers\visualCompete.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"c:\Users\Long To\Documents\react-proj\score\server\src\controllers\visualGroup.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Long To\Documents\react-proj\score\server\src\controllers\visualSpecial.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"c:\Users\Long To\Documents\react-proj\score\server\src\controllers\visualYear.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"c:\Users\Long To\Documents\react-proj\score\server\src\index.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 6, 45
"c:\Users\Long To\Documents\react-proj\score\server\src\routes\detail.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Long To\Documents\react-proj\score\server\src\routes\search.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Long To\Documents\react-proj\score\server\src\routes\suggest.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\Long To\Documents\react-proj\score\server\src\routes\track.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Long To\Documents\react-proj\score\server\src\routes\visual.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Long To\Documents\react-proj\score\server\src\utils\lists.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 1, 4, 37
"c:\Users\Long To\Documents\react-proj\score\server\vercel.json", "JSON", 0, 15, 0, 0, 0, 0, 0, 0, 0, 15
"Total", "-", 296, 217, 1140, 21, 906, 76, 7939, 106, 1117, 11818
